metric,point_estimate,ci_lower_2.5,ci_upper_97.5
roc_auc,0.8926781480571813,0.8700622290231438,0.9150777290832222
precision,0.881177082296444,0.8592902892151012,0.9013789483973408
recall,0.9421314738233088,0.9256723863038296,0.9572772879173274
f1,0.9105920472634311,0.8963189727827078,0.9236643332432615
